,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Era
29,The Righteous Brothers,The Essential Collection,Unchained Melody,0kjR2WOZOUVO33MBrEtKkn,0.381,0.33,0,-10.786,1,0.0266,0,0.438,0.365,99.407,214813,3,50
30,Various Artists,Rockin' Gals Of The 1950's,Tennessee Waltz,7t8Tzd9FqVz2asFMCL0HpZ,0.468,0.171,5,-10.905,1,0.0303,3.74e-05,0.142,0.357,86.525,183573,3,50
31,The Everly Brothers,The Very Best of The Everly Brothers,Wake up Little Susie,11fNLqDB47gMKj7BHhR2Qr,0.709,0.62,2,-9.382,1,0.034,0,0.0426,0.936,93.723,123520,4,50
32,Buddy Holly & The Crickets,Rave On: The Very Best Of …,That'll Be The Day,3wvZ0ZS3alz4zH2CNhR3AC,0.663,0.546,9,-8.132,1,0.0336,0,0.361,0.849,126.497,135813,4,50
33,Buddy Holly,20 Golden Greats: Buddy Holly Lives,It Doesn't Matter Anymore,7KGbqCYWaXdJxhsuilkcwF,0.665,0.179,7,-16.727,1,0.0367,0,0.189,0.856,115.203,124000,4,50
34,Various Artists,True 50's love,Tammy,3S5SBuukng1nPQaKdh0jki,0.188,0.296,8,-10.014,1,0.0351,5.05e-05,0.132,0.204,76.287,183880,1,50
35,Elvis Presley,Elvis' Golden Records,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,0.697,0.55,2,-11.496,1,0.18,3.44e-05,0.0907,0.844,84.802,122893,4,50
36,Little Eva,Playlist: The Best Of Little Eva,The Locomotion,53UXqZaarqFPAFEy7dT1m1,0.629,0.782,3,-9.595,1,0.0574,0.0215,0.304,0.736,128.973,139120,4,50
37,Perry Como,Timeless: Perry Como,Magic Moments,4M1wetsQ0kt4WjAsFRPSfE,0.714,0.253,0,-15.16,0,0.0433,4.91e-06,0.173,0.695,104.302,161855,4,50
38,Ella Fitzgerald,Ella & Friends,Dream A Little Dream Of Me,3vFVS2WYHDG4KkWCNecvpn,0.455,0.167,0,-13.613,1,0.0739,0,0.173,0.404,76.118,185067,4,50
39,Nat King Cole,The Unforgettable Nat King Cole (Remastered),Unforgettable,5h1mm1R9Jy531CbvptILX7,0.286,0.31,2,-12.368,0,0.0275,0.000128,0.0988,0.153,86.966,208640,4,50
40,Dean Martin,This Is Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,5OkKOkdVTKFrYi6GWXkMzR,0.612,0.144,6,-12.204,0,0.0352,0,0.203,0.343,128.629,181627,4,50
41,Manfred Mann,At Abbey Road,Do Wah Diddy Diddy - 1997 Remastered Version,5kWobkGc1McvhM4LzWyJO3,0.479,0.794,4,-5.46,1,0.0467,0,0.0325,0.922,125.616,144933,4,50
42,Sam Cooke,Sam Cooke,You Send Me,7fPOOCejoBt3dIm6UcEdm8,0.538,0.226,4,-13.817,0,0.0288,0,0.125,0.553,96.951,163560,4,50
43,The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,Da Doo Ron Ron (When He Walked Me Home),0fonScmHUzC0MglSLn9saA,0.535,0.797,3,-7.533,1,0.0459,3.42e-05,0.141,0.613,148.835,140120,4,50
44,Buddy Holly,Buddy Holly,Everyday - Single Version,6qfIne1xNg5GDcmg73x0N8,0.747,0.219,3,-12.562,1,0.0371,2.57e-05,0.107,0.498,135.562,129120,4,50
45,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Diana,4chlGZQX5uPYpRLp3NezmX,0.57,0.408,7,-9.932,1,0.0295,0,0.549,0.96,143.249,138360,4,50
46,The Platters,The Best Of The Platters,Twilight Time,1tu5rCtK0jCLMeoWCYnttf,0.408,0.366,9,-10.434,1,0.0296,0,0.267,0.294,77.711,164400,4,50
47,Various Artists,Golden Hits forever V5,Sea Of Love,14T8UhqU8EaJpp3tRxqJbr,0.289,0.353,7,-12.302,1,0.0292,1.35e-06,0.172,0.312,85.436,144600,4,50
48,Bobby Vinton,Blue Velvet - Greatest Hits,Blue Velvet,6AEFQ8LIJg5d3Uv3zsPaM7,0.495,0.252,10,-10.84,1,0.0271,1.04e-06,0.141,0.323,81.228,170133,1,50
49,Buddy Holly,Buddy Holly,Peggy Sue - Single Version,1a4YRgItMM4aGilIg99elY,0.676,0.424,9,-8.132,1,0.0329,0.000494,0.119,0.493,148.373,150960,4,50
50,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Sherry,0NpvdCO506uO58D4AbKzki,0.703,0.478,7,-8.062,1,0.0441,0,0.113,0.734,117.562,152160,4,50
51,Frank Sinatra,Ultimate Sinatra,I've Got You Under My Skin,1hSlBR0fAUCyB7jNtztE1s,0.585,0.371,1,-7.398,1,0.036,0,0.0957,0.625,127.289,222147,4,50
52,Fats Domino,Fats Domino Swings,Ain't That A Shame,4ZfQwNx3FlCN07cnUvekh3,0.486,0.501,4,-8.57,1,0.0326,7.6e-05,0.0679,0.942,122.894,152200,4,50
53,Bobby Darin,Hello Dolly To Goodbye Charlie,"Hello, Dolly! - 2001 Digital Remaster",4HIVG4xTUCk6ruZuXKz6k3,0.463,0.381,6,-10.614,1,0.051,0,0.0523,0.537,160.885,194733,4,50
54,The Marcels,The Very Best Of The Marcels,Blue Moon - 2004 Remaster,39hE7MMHFjYsqv7zwhR6LD,0.617,0.5,7,-7.979,1,0.0396,0,0.0778,0.904,127.7,136653,4,50
55,Ray Peterson,Goodnight My Love,Tell Laura I Love Her,3ic8Aie35Q7XuzmODprc0Y,0.515,0.358,4,-14.705,1,0.0409,0,0.191,0.291,102.342,178093,4,50
56,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,0.577,0.306,9,-11.559,1,0.0427,0,0.18,0.568,125.166,177400,4,50
57,Fats Domino,The Best Of Fats Domino,Jambalaya (On The Bayou),1slMt4LizkO9dVcMZItJ1O,0.605,0.845,6,-8.672,0,0.0596,0.000267,0.253,0.965,75.322,144067,4,50
58,Various Artists,True 50's love,Love Letters In The Sand - Single Version,3UfewPjArRkb5hQQtZ10pn,0.575,0.246,3,-13.327,1,0.029,0.000932,0.151,0.708,88.226,134947,4,50
59,Ella Fitzgerald,Ella & Louis (Classics International Version),Cheek To Cheek,6pPr1KLZit9FgFNhp7xE5m,0.648,0.306,0,-13.395,1,0.0883,0,0.252,0.661,122.027,351893,4,50
60,Neil Sedaka,Collections,Oh! Carol,1VI29k31nGdasgJ8BBpPu8,0.584,0.743,8,-7.039,0,0.0463,0,0.319,0.815,132.747,135773,4,50
61,Dean Martin,This Is Dean Martin,Return To Me (Ritorna-Me) - 1997 Remaster,6YAgmqaeo8Fm3pne8OJEBo,0.267,0.205,2,-13.75,1,0.0348,0.00203,0.113,0.178,88.584,144800,4,50
62,Various Artists,True 50's love,Broken Hearted Melody,40KCF1U2DNceYsugxZQruU,0.448,0.5,7,-11.304,1,0.0356,0,0.191,0.768,132.443,143267,4,50
63,Dion,Runaround Sue,Runaround Sue,1DndHckdH9m5rp6gYP086b,0.364,0.607,2,-9.791,1,0.125,0,0.251,0.598,79.987,171600,4,50
64,Patsy Cline,The Very Best Of Patsy Cline,She's Got You,6rNA2S7NYAWEWBaCHIKRoD,0.565,0.167,5,-13.379,1,0.0354,0,0.0884,0.562,90.791,189867,3,50
65,Various Artists,True 50's love,It's All In The Game,65DHarvIY5nZ57ZcgTxx75,0.546,0.167,3,-16.085,1,0.0308,0.0181,0.127,0.628,70.564,158053,4,50
66,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Big Girls Don't Cry,3VPJVon5HEa2VGZC62RJfW,0.815,0.606,7,-9.733,1,0.115,0,0.13,0.883,130.45,145973,4,50
67,The Spaniels,The Very Best of the Spaniels,"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",50meIWPMuhYgQSXfSsUvtI,0.375,0.318,9,-9.923,0,0.0423,0.000198,0.422,0.358,76.638,160373,4,50
68,Johnny Burnette,Johnny Burnette's Hits And Other Favorites,"You're Sixteen, You're Beautiful (And You're Mine)",3BS7w8YLPtEgon7Ioujcsz,0.377,0.356,2,-11.786,1,0.0365,0,0.0667,0.708,149.727,119027,4,50
69,Various Artists,PAN AM: Music From and Inspired By The Original Series (From the Pan Am Soundtrack),Blue Skies,2xNDO4i0qxmkxYptUbxYpx,0.464,0.391,0,-5.115,1,0.0483,0,0.0521,0.649,158.894,226213,4,50
70,Jerry Lee Lewis,The Complete 1950's Masters - Jerry Lee Lewis,Great Balls Of Fire,3YmELj8vHY6mKIzphgtQlM,0.468,0.527,7,-13.897,0,0.0683,0,0.061,0.855,159.501,116467,4,50
71,Eddie Cochran,12 Of His Biggest Hits,Summertime Blues,1ZWIQXfAquWtLDK5aOUczS,0.717,0.883,9,-8.686,0,0.0608,0.167,0.176,0.942,156.299,119360,4,50
72,Buddy Holly,The Very Best Of Buddy Holly,Rave On,7jPKMlLGZAMnGntHaFeU12,0.547,0.706,7,-8.226,1,0.0353,1.26e-06,0.49,0.963,159.525,108867,4,50
73,Elvis Presley,For LP Fans Only,That's All Right,0tHcXWIYt99GY8BONrPIfA,0.655,0.405,2,-9.825,1,0.036,1.33e-06,0.116,0.696,105.272,115280,4,50
74,Connie Francis,The Very Best Of Connie Francis - Connie 21 Biggest Hits,Stupid Cupid,71uRTq9mNhaSMbrry5nIC3,0.598,0.699,3,-8.271,1,0.0353,5.04e-06,0.0507,0.968,135.869,133160,4,50
0,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),God Only Knows - Remastered,6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6,-7.525,0,0.0299,0,0.0579,0.483,117.072,173040,4,60
1,Bee Gees,Bee Gees' 1st,To Love Somebody,3rGFsUgyH9GbbYJT4iwbhJ,0.423,0.384,9,-12.503,1,0.0315,4.11e-06,0.27,0.521,90.43,182000,4,60
2,Various Artists,Summer of the 60s - Rock & Pop Classics,I Got You Babe,6eN6IFp4ppKBPT61dylWWl,0.629,0.795,6,-6.02,1,0.0278,5.44e-06,0.132,0.6,110.583,190080,3,60
3,The Monkees,"The Birds, The Bees, & The Monkees",Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,0.51,0.488,7,-10.304,1,0.0304,0,0.11,0.649,125.683,179613,4,60
4,The Mamas & The Papas,Gold,California Dreamin' - Single Version,077PiyK3YgRlnlwhtAUBp7,0.557,0.698,1,-7.471,0,0.039,0,0.057,0.677,112.479,158720,4,60
5,Elvis Presley,Elvis 30 #1 Hits,Suspicious Minds,6KDG8vvFerlCU63IXdw1zb,0.542,0.722,7,-5.065,1,0.0262,1.18e-05,0.131,0.609,115.21,272360,4,60
6,Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0,0.407,0.907,150.572,183307,4,60
7,Otis Redding,The Dock of the Bay,(Sittin' On) the Dock of the Bay,4Y4Gd3ty8uut6Qw43c7yJc,0.486,0.312,2,-13.522,1,0.0533,1.59e-06,0.0601,0.598,205.917,166827,4,60
8,The Beatles,Rubber Soul (Remastered),In My Life - Remastered 2009,3KfbEIOC7YIv90FIfNSZpo,0.688,0.435,9,-11.359,1,0.0323,0,0.113,0.435,103.239,146333,4,60
9,Johnny Nash,The Best Of,I Can See Clearly Now,30SCXVFyQGOFMdKnbgJS18,0.658,0.468,2,-13.19,1,0.0493,8.68e-05,0.066,0.684,124.227,166933,4,60
10,Sam Cooke,The Man Who Invented Soul,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,0.691,0.507,11,-10.23,1,0.0343,0,0.457,0.885,128.518,125440,4,60
11,Simon & Garfunkel,Bookends,"Mrs. Robinson - From ""The Graduate"" Soundtrack",0iOZM63lendWRTTeKhZBSC,0.606,0.457,6,-14.035,0,0.0497,2.53e-05,0.0747,0.813,92.033,244027,4,60
12,"Peter, Paul and Mary",Album 1700,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,0.414,0.167,9,-16.519,1,0.0484,0,0.117,0.384,133.45,207240,4,60
13,Harry Nilsson,Aerial Ballett,"Everybody's Talkin' - From ""Midnight Cowboy""",1Yp16rwCxTScYhK5ThYUZR,0.402,0.493,4,-9.99,1,0.0357,3.05e-05,0.229,0.692,124.103,164813,4,60
14,Various Artists,This Is... 1969,He Ain't Heavy He's My Brother,1ZCN1OVTk5LbbdEWhgWfpW,0.319,0.275,7,-13.195,1,0.0303,0.000365,0.183,0.253,75.762,258800,4,60
15,The Byrds,Turn! Turn! Turn!,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,0.452,0.818,2,-8.124,1,0.0439,2.72e-05,0.052,0.755,124.474,229360,4,60
16,Simon & Garfunkel,Bridge Over Troubled Water,Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,3,-13.888,1,0.0323,0.000649,0.115,0.264,79.764,293120,4,60
17,The Beach Boys,Good Vibrations 40th Anniversary,Good Vibrations - Remastered,2oF7FZHIJbzjeEXZ3D0Ku4,0.403,0.495,10,-6.888,0,0.0312,8.03e-06,0.147,0.38,132.912,217747,4,60
18,The Mamas & The Papas,If You Can Believe Your Eyes And Ears,"Monday, Monday - Single Version",46PzYzseHf3mSdkTMd8sgC,0.493,0.467,1,-11.183,1,0.0289,0,0.388,0.731,110.553,205267,4,60
